raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files,fx_name_hits,description_hits,keywords_hits,filename_hits,field_quality,example_quality,category_alignment,existing_canonical_status,approved_for_ai,qa_flags
whoosh,Whoosh,token,action,1564,2338,3,70,candidate,record_count>=1000 +25; appears_in_fx_name +15; known_action_vocabulary +20; category_aligned +10; policy=known; governed_aliases=3,fx_name=164; description=764; keywords=1016; filename=394,"{""fx_name"":""Whoosh Modulation"",""description"":""Rapid motion with whoosh-like modulation."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Soft Whoosh Filter Movement"",""description"":""Extended motion noise with a gentle whoosh and filter modulation."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}",,WHSH; DSGNWhsh; DSGNMisc,SWOOSHES/WHOOSH; DESIGNED/WHOOSH; DESIGNED/MISC,00_Cinematic_Motion_Metadata_CK.xlsx#CMCK; 00_Superheroes_Speed_and_Strength_CK_Metadata.xlsx#SHCK; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK,164,764,1016,394,medium,medium,mixed,existing_conflict,no,category_mixed;duplicate_examples;existing_conflict
impact,Impact,token,action,1552,2768,3,80,candidate,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; category_aligned +10; policy=known; governed_aliases=4,fx_name=557; description=847; keywords=657; filename=707,"{""fx_name"":""Plunger Water Impact Hard"",""description"":""Force Cup. Wet, tight, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",,,DSGNMisc; DSGNImpt; METLImpt,DESIGNED/MISC; METAL/IMPACT; DESIGNED/IMPACT,00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_SciFi_Momentum_Metadata_CK.xlsx#CK; 00_Mutate_Organic_CK.xlsx#MOCK,557,847,657,707,medium,low,mixed,existing_keep,no,category_mixed;duplicate_examples;insufficient_unique_examples
hit,Hit,token,action,1418,2226,3,70,candidate,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; policy=known,fx_name=322; description=952; keywords=593; filename=359,"{""fx_name"":""Pre Dawn Drips Heavy"",""description"":""Pre dawn in the Amazon jungle as heavy drops of water fall from the canopy and hit broad leafed plants. Chirping insects and birds calling…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Pre Dawn Drips"",""description"":""Pre dawn in the Amazon jungle as light drops of water fall from the canopy and hit broad leafed plants. Chirping insects and birds calling…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Dawn Howler Monkeys Distant"",""description"":""Distant howler monkeys eerily vocalizing, birds begin at dawn in Amazon jungle. Water drops hit broad leafs. Chirping, flying insects throu…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}",GUNCano; WEAPSwrd; DSGNImpt,GUNS/CANNON; DESIGNED/IMPACT; WEAPONS/SWORD,00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Cinematic_Impacts_CK_Metadata.xlsx#CICK; 00_Cannons_CK_Metadata.xlsx#METADATA STRATA,322,952,593,359,medium,low,mixed,existing_unknown,no,ambiguous_token;category_mixed;generic_description_hit
shot,Shot,token,action,1360,3276,3,70,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; policy=review_only; governed_aliases=1,fx_name=1033; description=167; keywords=1126; filename=950,"{""fx_name"":""Saw Wave White Noise Dual Delay Shot"",""description"":""Sharp accent characterised by a saw wave, white noise, and dual delay shot."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}",,,GUNRif; GUNCano; GUNPis,GUNS/RIFLE; GUNS/PISTOL; GUNS/CANNON,00_Guns_CK_Remastered_Metadata.xlsx#Guns CK Remastered; 00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK; 00_WWI_Firearms_CK_Metadata.xlsx#WWI Firearms CK,1033,167,1126,950,high,low,aligned,existing_keep,no,ambiguous_token;duplicate_examples;insufficient_unique_examples
scrape,Scrape,token,action,699,1455,3,65,review,record_count>=500 +20; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; policy=known; governed_aliases=2,fx_name=541; description=198; keywords=342; filename=374,"{""fx_name"":""Cardboard Box Scrape Knife Circle"",""description"":""Scratch, Rub. Aggressive, raspy, resonant scraping with varying movement. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Balloon Friction Rub Very High"",""description"":""Scrape. Tonal, slightly raspy scraping and moaning. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",,GUNCano; METLFric; WEAPSwrd,#REF!/#REF!; TOYS/MECHANICAL; GUNS/CANNON,00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Toy_Guns_Metadata.xlsx#Toy Guns; 00_Cannons_CK_Metadata.xlsx#CANNONS Foley,541,198,342,374,medium,medium,weak,existing_keep,no,category_mismatch;duplicate_examples
rattle,Rattle,token,action,487,803,3,60,review,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; policy=known,fx_name=173; description=288; keywords=169; filename=173,"{""fx_name"":""Countryside Farming Machines England"",""description"":""STELLING MINNIS - Countryside with farming machines. Crickets, bird twitter and semi-distant machine rattle throughout. Occasional car driv…"",""category"":""AMBIENCE/FARM"",""cat_id"":""AMBFarm""}","{""fx_name"":""Old Town Backyard Calm Refuse Collection Belgium"",""description"":""BRUGES - Calm old town backyard with ventilation hum. Occasional refuse collection noises, dustbin rattle and drive by. Minimal semi-distan…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Small Town Tight Alleyway Calm France"",""description"":""SAINT TROPEZ - Calm village alleyway with ventilation hum and rattle. Car honk, footsteps and cough at times. Semi-distant construction noi…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}",GUNMech; GUNCano; CRWDBatl,GUNS/MECHANISM; #REF!/#REF!; Vehicles/Trains,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK; 00_Doors_Metadata.xlsx#Doors; 00_Crowds_War_And_Battle_Metadata.xlsx#Crowds - War & Battle,173,288,169,173,medium,low,weak,existing_unknown,no,category_mismatch
snap,Snap,token,action,324,598,3,60,review,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; policy=known; governed_aliases=1,fx_name=198; description=128; keywords=125; filename=147,"{""fx_name"":""Short Snap"",""description"":""Brief, sharp snapping impact with a burst of static."",""category"":""DESIGNED/IMPACT"",""cat_id"":""DSGNImpt""}",,,GUNCano; WHSH; METLMvmt,#REF!/#REF!; GUNS/CANNON; SWOOSHES/WHOOSH,00_Doors_Metadata.xlsx#Doors; 00_SciFi_Momentum_Metadata_CK.xlsx#CK; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK,198,128,125,147,medium,low,weak,existing_keep,no,category_mismatch;duplicate_examples;insufficient_unique_examples
drop,Drop,token,action,248,521,3,60,review,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; policy=known; governed_aliases=3,fx_name=186; description=73; keywords=126; filename=136,"{""fx_name"":""Drop it Like Its Hot"",""description"":""SYNTHETIC SCREECH LONG Intense shot of a buzz, with screech at the end."",""category"":""DESIGNED/TONAL"",""cat_id"":""DSGNTonl""}","{""fx_name"":""Metal Chain Drop High Ringing"",""description"":""Metallic chain being dropped with tonal ring out."",""category"":""GUNS/CANNON"",""cat_id"":""CHAINMvmt""}",,GUNCano; OBJCoin; FGHTBf,GUNS/CANNON; #REF!/#REF!; METAL/IMPACT,00_Casual_UI_CK_Metadata.xlsx#CK; 00_Cannons_CK_Metadata.xlsx#CACK; 00_Cinematic_Impacts_CK_Metadata.xlsx#CICK,186,73,126,136,medium,medium,mixed,existing_keep,no,ambiguous_token;category_mixed;duplicate_examples
friction,Friction,token,action,231,382,3,70,candidate,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=66; description=205; keywords=50; filename=61,"{""fx_name"":""Balloon Friction Rub Very High"",""description"":""Scrape. Tonal, slightly raspy scraping and moaning. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",,,CREASrce; METLFric; AIRSuck,CREATURES/SOURCE; METAL/FRICTION; AIR/SUCTION,00_Alien_Life_CK_Metadata.xlsx#ALCK; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK; 00_Violent_Combat_CK_Metadata.xlsx#VCCK,66,205,50,61,medium,low,mixed,existing_keep,no,category_mixed;duplicate_examples;insufficient_unique_examples
squeak,Squeak,token,action,172,303,3,70,candidate,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; category_aligned +10; policy=known,fx_name=45; description=83; keywords=86; filename=89,"{""fx_name"":""Water Bath Toy Squeeze Squeak"",""description"":""Sizzle. Wet, resonant, airy, raspy, slightly tonal squeezing, screeching and hissing. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",,,GUNCano; METLFric; CREASrce,Vehicles/Trains; #REF!/#REF!; DOORS/APPLIANCE,00_Doors_Metadata.xlsx#Doors; Trains_Stereo.xlsx#Trains - Stereo; 00_Mutate_Organic_CK.xlsx#MOCK,45,83,86,89,medium,low,mixed,existing_unknown,no,category_mixed;duplicate_examples;insufficient_unique_examples
