raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files
metal,Metal,token,material,1735,2847,3,80,candidate,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=976; description=617; keywords=724; filename=530,"{""fx_name"":""Countryside Village Calm Night Belgium"",""description"":""VRIJSTRAAT - Calm countryside village at night. Crickets throughout. Distant glass and metal impacts at times. Semi-distant traffic hum. No…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""City Docks Yacht Club Night England"",""description"":""LONDON - Docks with yacht club at night. Ocean hum, semi-distant waves and moderate semi-distant voices throughout. Occasional pedestrian a…"",""category"":""AMBIENCE/SEASIDE"",""cat_id"":""AMBSea""}","{""fx_name"":""Slime Vocal Kazoo Metal High Groan"",""description"":""Instrument. Calm, short, tonal moaning and groaning. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",GUNCano; METLMvmt; METLFric,GUNS/CANNON; #REF!/#REF!; METAL/IMPACT,00_Cannons_CK_Metadata.xlsx#CANNONS Foley; 00_Cannons_DS_Metadata.xlsx#CANNONS Foley; 00_Cannons_CK_Metadata.xlsx#CACK
wood,Wood,token,material,939,1768,3,75,candidate,record_count>=500 +20; field_diversity>=1.5 +10; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=3,fx_name=634; description=340; keywords=440; filename=354,"{""fx_name"":""Dawn Birds Active"",""description"":""Dawn birds in cloud forest. Light breeze and chirping insects throughout. Bird activity close at times. Falling tree debris heard occasiona…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Dawn Birds Spacious"",""description"":""Birds call and sing at dawn in a cloud forest with a calm distant breeze. Chirping insects throughout. Bird and insect activity close at ti…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Dawn Birds Diverse"",""description"":""Diverse birds call and sing at dawn in cloud forest with calm distant breeze. Chirping insects throughout. Some tree debris. Common Chloros…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}",GUNCano; WOODImpt; WEAPArmr,#REF!/#REF!; GUNS/CANNON; DOORS/WOOD,00_Doors_Metadata.xlsx#Doors; 00_Cannons_CK_Metadata.xlsx#CACK; 00_Cannons_CK_Metadata.xlsx#CANNONS Foley
plastic,Plastic,token,material,437,776,3,70,candidate,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=156; description=325; keywords=141; filename=154,"{""fx_name"":""Balloon Pump Breath Constant"",""description"":""Plastic, Inflation. Airy, steady, continuous and slightly tonal breathing with varying speed and intensity. Mono, Sanken Co100K high freque…"",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Plastic Hose Slime Clicking Long"",""description"":""Pipe, Bowl. Long, fast stuttering and clicking with varying tension. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Plastic Hose Slime Clicking Short"",""description"":""Pipe, Bowl. Fast stuttering and clicking with varying tension. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",CREASrce; PLASFric; UIClick,TOYS/MECHANICAL; PLASTIC/MOVEMENT; PLASTIC/FRICTION,00_Toy_Guns_Metadata.xlsx#Toy Guns; 00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_Mutate_Organic_CK.xlsx#MOCK
water,Water,token,material,430,609,3,60,review,record_count>=100 +15; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=208; description=268; keywords=79; filename=54,"{""fx_name"":""Countryside Cow Barn Night Belgium"",""description"":""VRIJSTRAAT - Countryside near cow barn with small fountain at night. Water splatter throughout. Occasional cow mooing and noises inside bar…"",""category"":""AMBIENCE/FARM"",""cat_id"":""AMBFarm""}","{""fx_name"":""Countryside Cow Barn Night Occasional Traffic Belgium"",""description"":""VRIJSTRAAT - Countryside near cow barn with small fountain at night. Water splatter throughout. Occasional cow mooing, noises inside barn a…"",""category"":""AMBIENCE/FARM"",""cat_id"":""AMBFarm""}","{""fx_name"":""Mountain Small Creek Goats Bells Spain"",""description"":""OS DE CIVÌS - Mountain with small creek. Water splatter and goats with bells ringing throughout. Occasional bird twitter."",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}",GUNCano; WATRSplsh; WATRMvmt,#REF!/#REF!; GUNS/CANNON; WATER/MISC,00_Mutate_Organic_CK.xlsx#MOCK; 00_Cannons_CK_Metadata.xlsx#CANNONS Impacts; 00_Cannons_DS_Metadata.xlsx#CANNONS Impacts
fire,Fire,token,material,366,533,3,60,review,record_count>=100 +15; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=2,fx_name=76; description=256; keywords=109; filename=92,"{""fx_name"":""Man On Fire"",""description"":""PROCESSED DECAY Soft and distorted crackling, resembling burning and flame dispersion."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Man On Fire"",""description"":""PROCESSED DECAY Soft and distorted crackling, resembling burning and flame dispersion."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Man On Fire"",""description"":""PROCESSED DECAY Soft and distorted crackling, resembling burning and flame dispersion."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",GUNMech; GUNAuto; DSGNWhsh,GUNS/MECHANISM; GUNS/AUTOMATIC; DESIGNED/WHOOSH,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK; 00_WWII_Firearms_DS_Metadata.xlsx#WWII Firearms DS; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK
leather,Leather,token,material,260,523,3,70,candidate,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=176; description=135; keywords=106; filename=106,"{""fx_name"":""Leather Crunch"",""description"":""PROCESSED HIT LOW Heavy and distorted smack, with some trembling."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Sail Leather Jacket Flap"",""description"":""Textile movement with some flapping and rustling."",""category"":""GUNS/CANNON"",""cat_id"":""CLOTHFlp""}","{""fx_name"":""Sail Leather Jacket Flap"",""description"":""Textile movement with some flapping and rustling."",""category"":""GUNS/CANNON"",""cat_id"":""CLOTHFlp""}",GUNCano; LETHRImpt; FGHTImpt,LEATHER/IMPACT; GUNS/CANNON; FIGHT/IMPACT,00_Violent_Combat_CK_Metadata.xlsx#VCCK; 00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Metadata_Medieval_Troops.xlsx#Template
cloth,Cloth,token,material,201,415,3,70,candidate,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=2,fx_name=122; description=115; keywords=89; filename=89,"{""fx_name"":""Sail Leather Jacket Snap"",""description"":""Textile being unfold leading into soft impact with lots of rustling cloth."",""category"":""GUNS/CANNON"",""cat_id"":""CLOTHFlp""}","{""fx_name"":""Sail Textile Rip"",""description"":""Tearing apart textile. Sharp with some subtle cloth movements."",""category"":""GUNS/CANNON"",""cat_id"":""CLOTHRip""}","{""fx_name"":""Metal Chain High 02"",""description"":""Cloth rustling, too similar to 01"",""category"":""#REF!/#REF!"",""cat_id"":""GUNCano""}",FGHTImpt; CLOTHMisc; DSGNWhsh,DESIGNED/MISC; FIGHT/IMPACT; DESIGNED/WHOOSH,00_Violent_Combat_CK_Metadata.xlsx#VCCK; 00_Superheroes_Speed_and_Strength_CK_Metadata.xlsx#SHCK; 00_Magic_Alchemy_CK_Metadata.xlsx#MALCK
stone,Stone,token,material,170,259,3,60,review,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_material_vocabulary +20; policy=known; governed_aliases=2,fx_name=22; description=114; keywords=94; filename=29,"{""fx_name"":""Two Birds One Stone"",""description"":""PROCESSED MOVEMENT CONTINUOUS Continuous and distorted crackling, with various birds chirping."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Two Birds One Stone"",""description"":""PROCESSED MOVEMENT CONTINUOUS Continuous and distorted crackling, with various birds chirping."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Two Birds One Stone"",""description"":""PROCESSED MOVEMENT CONTINUOUS Continuous and distorted crackling, with various birds chirping."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",GUNCano; ROCKImpt; DSGNImpt,GUNS/CANNON; ROCKS/IMPACT; ROCKS/MOVEMENT,00_Mutate_Organic_CK.xlsx#MOCK; 00_Cannons_CK_Metadata.xlsx#METADATA STRATA; 00_Cannons_DS_Metadata.xlsx#METADATA STRATA
glass,Glass,token,material,162,396,3,70,candidate,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=116; description=107; keywords=86; filename=87,"{""fx_name"":""Countryside Village Calm Night Belgium"",""description"":""VRIJSTRAAT - Calm countryside village at night. Crickets throughout. Distant glass and metal impacts at times. Semi-distant traffic hum. No…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Glass Crystal Freq Shift"",""description"":""Glassy, crystalline sound with a shifting frequency effect."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Glass Shing Impact"",""description"":""Sharp, glassy impact with a shimmering tone."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",OBJHsehld; GLASMvmt; OBJCoin,OBJECTS/HOUSEHOLD; GLASS/MOVEMENT; OBJECTS/COIN,00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_Casual_UI_CK_Metadata.xlsx#CK; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK
rubber,Rubber,token,material,124,276,3,70,candidate,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_material_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=77; description=69; keywords=64; filename=66,"{""fx_name"":""Rubber Chicken"",""description"":""SYNTHETIC SCREECH SHORT Bang, followed by pulsating and piercing screech."",""category"":""DESIGNED/TONAL"",""cat_id"":""DSGNTonl""}","{""fx_name"":""Rubber Band"",""description"":""SYNTHETIC DECAY Deep rattling. Fast and short motion."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Rubber Drop Plop"",""description"":""Interaction between liquid dropping or plopping onto a rubber surface."",""category"":""LIQUID & MUD/BUBBLES"",""cat_id"":""LIQBubl""}",MUSCPerc; TOONSqk; SWSH,RUBBER/MISC; MUSICAL/PERCUSSION; CARTOON/SQUEAK,00_Mutate_Organic_CK.xlsx#MOCK; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK; 00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata
