raw,canonical,slot,boom_freq
七分熟,Medium,,15492
三分熟,Medium,,15492
中企业,Medium,,15492
中型,Medium,,15492
中压管,Medium,,15492
中常,Medium,,15492
中波,Medium,,15492
中源地震,Medium,,15492
中焙,Medium,,15492
中白鹭,Medium,,15492
中辣,Medium,,15492
五分熟,Medium,,15492
介质,Medium,,15492
介质访问控制,Medium,,15492
传输媒质,Medium,,15492
传输媒体,Medium,,15492
半熟,Medium,,15492
可磁化体,Medium,,15492
培养基,Medium,,15492
媒,Medium,,15492
媒介,Medium,,15492
媒材,Medium,,15492
媒质,Medium,,15492
英中,Medium,,15492
载具,Medium,,15492
载体,Medium,,15492
输送媒介,Medium,,15492
连续介质力学,Medium,,15492
灵媒,Medium,,15492
显影剂,Medium,,15492
一,Single,modifier,13506
一元论,Single,modifier,13506
一夕数惊,Single,modifier,13506
一失足成千古恨,Single,modifier,13506
一字不差,Single,modifier,13506
一字不提,Single,modifier,13506
一字纵队,Single,modifier,13506
一字褒贬,Single,modifier,13506
一日三秋,Single,modifier,13506
一木难支,Single,modifier,13506
一柱擎天,Single,modifier,13506
一棍子打死,Single,modifier,13506
一步登天,Single,modifier,13506
一毛不拔,Single,modifier,13506
一炮打响,Single,modifier,13506
一发,Single,modifier,13506
一矢中的,Single,modifier,13506
一窍不通,Single,modifier,13506
一举手一投足,Single,modifier,13506
一叶障目,Single,modifier,13506
一言堂,Single,modifier,13506
一身,Single,modifier,13506
一锤定音,Single,modifier,13506
一骨碌,Single,modifier,13506
一鸣惊人,Single,modifier,13506
不可终日,Single,modifier,13506
不堪一击,Single,modifier,13506
主打歌,Single,modifier,13506
干物女,Single,modifier,13506
光棍儿,Single,modifier,13506
光棍节,Single,modifier,13506
冰冻三尺，非一日之寒,Single,modifier,13506
分文,Single,modifier,13506
剩女,Single,modifier,13506
剩男,Single,modifier,13506
动弹不得,Single,modifier,13506
匹,Single,modifier,13506
半个人,Single,modifier,13506
单一,Single,modifier,13506
单一登入,Single,modifier,13506
单一货币,Single,modifier,13506
单人,Single,modifier,13506
单人床,Single,modifier,13506
单人间,Single,modifier,13506
单个,Single,modifier,13506
单味药,Single,modifier,13506
单套,Single,modifier,13506
单字,Single,modifier,13506
单层,Single,modifier,13506
单引号,Single,modifier,13506
单房差,Single,modifier,13506
单日,Single,modifier,13506
单曲,Single,modifier,13506
单月,Single,modifier,13506
单枪匹马,Single,modifier,13506
单模,Single,modifier,13506
单源论,Single,modifier,13506
单瓣,Single,modifier,13506
单相,Single,modifier,13506
单眼皮,Single,modifier,13506
单行本,Single,modifier,13506
单亲,Single,modifier,13506
单亲家庭,Single,modifier,13506
单趟,Single,modifier,13506
单身,Single,modifier,13506
单身汉,Single,modifier,13506
单身贵族,Single,modifier,13506
单连接站,Single,modifier,13506
单键,Single,modifier,13506
单链,Single,modifier,13506
单间差,Single,modifier,13506
单点,Single,modifier,13506
单点故障,Single,modifier,13506
单点登录,Single,modifier,13506
噶玛兰,Single,modifier,13506
孝廉,Single,modifier,13506
孤男寡女,Single,modifier,13506
定于一尊,Single,modifier,13506
宁拆十座庙，不毁一桩婚,Single,modifier,13506
寸步难行,Single,modifier,13506
平话,Single,modifier,13506
心有灵犀一点通,Single,modifier,13506
成败在此一举,Single,modifier,13506
摇身一变,Single,modifier,13506
散座,Single,modifier,13506
散座儿,Single,modifier,13506
旗开得胜,Single,modifier,13506
星星之火,Single,modifier,13506
星星之火，可以燎原,Single,modifier,13506
独,Single,modifier,13506
独身,Single,modifier,13506
空口,Single,modifier,13506
笔仙,Single,modifier,13506
纹丝不动,Single,modifier,13506
统一体,Single,modifier,13506
经丝彩色显花,Single,modifier,13506
经锦,Single,modifier,13506
缺一不可,Single,modifier,13506
评书,Single,modifier,13506
评话,Single,modifier,13506
连写,Single,modifier,13506
连书,Single,modifier,13506
里弄,Single,modifier,13506
只字不提,Single,modifier,13506
集火,Single,modifier,13506
双独,Single,modifier,13506
非洲单源说,Single,modifier,13506
颗粒归仓,Single,modifier,13506
颗粒无收,Single,modifier,13506
鱼贯,Single,modifier,13506
鸦雀无声,Single,modifier,13506
不翼而飞,Fast,modifier,13077
不胫而走,Fast,modifier,13077
便捷,Fast,modifier,13077
便捷化,Fast,modifier,13077
俯冲,Fast,modifier,13077
健步如飞,Fast,modifier,13077
又要马儿跑，又要马儿不吃草,Fast,modifier,13077
嘌,Fast,modifier,13077
坚守,Fast,modifier,13077
外送,Fast,modifier,13077
大斋,Fast,modifier,13077
大斋节,Fast,modifier,13077
天眼,Fast,modifier,13077
好事不出门，恶事传千里,Fast,modifier,13077
守斋,Fast,modifier,13077
封斋,Fast,modifier,13077
快中子,Fast,modifier,13077
快充,Fast,modifier,13077
快捷,Fast,modifier,13077
快攻,Fast,modifier,13077
快时尚,Fast,modifier,13077
快碳,Fast,modifier,13077
快行道,Fast,modifier,13077
快车道,Fast,modifier,13077
快速,Fast,modifier,13077
快速以太网络,Fast,modifier,13077
快餐,Fast,modifier,13077
快餐店,Fast,modifier,13077
快马加鞭,Fast,modifier,13077
急功近利,Fast,modifier,13077
急智,Fast,modifier,13077
凭轼结辙,Fast,modifier,13077
扒搂,Fast,modifier,13077
择善固执,Fast,modifier,13077
断食,Fast,modifier,13077
沉睡,Fast,modifier,13077
满帆,Fast,modifier,13077
牢,Fast,modifier,13077
疾步,Fast,modifier,13077
疾速,Fast,modifier,13077
百胜餐饮集团,Fast,modifier,13077
禁食,Fast,modifier,13077
秉持,Fast,modifier,13077
纷至沓来,Fast,modifier,13077
绿色通道,Fast,modifier,13077
跑马,Fast,modifier,13077
辟谷,Fast,modifier,13077
迅,Fast,modifier,13077
迅捷,Fast,modifier,13077
迅速,Fast,modifier,13077
速,Fast,modifier,13077
速配,Fast,modifier,13077
速食,Fast,modifier,13077
速食店,Fast,modifier,13077
遄征,Fast,modifier,13077
遽,Fast,modifier,13077
酣眠,Fast,modifier,13077
开斋,Fast,modifier,13077
关紧,Fast,modifier,13077
灵通,Fast,modifier,13077
风驰电掣,Fast,modifier,13077
飞也似的,Fast,modifier,13077
飞快,Fast,modifier,13077
飞舟,Fast,modifier,13077
马工枚速,Fast,modifier,13077
𫘝,Fast,modifier,13077
斋戒,Fast,modifier,13077
斋期,Fast,modifier,13077
干锅,Metal,material,12956
五行,Metal,material,12956
五金,Metal,material,12956
交响金属,Metal,material,12956
冶炼,Metal,material,12956
冶炼炉,Metal,material,12956
凸版印刷,Metal,material,12956
固若金汤,Metal,material,12956
废铜烂铁,Metal,material,12956
废钢,Metal,material,12956
探伤,Metal,material,12956
方𨰿,Metal,material,12956
旋子,Metal,material,12956
毛口,Metal,material,12956
炀金,Metal,material,12956
众口铄金,Metal,material,12956
精诚所至，金石为开,Metal,material,12956
贵金属,Metal,material,12956
轮毂,Metal,material,12956
过渡金属,Metal,material,12956
重金属,Metal,material,12956
金属疲劳,Metal,material,12956
金柜,Metal,material,12956
金石,Metal,material,12956
金卤灯,Metal,material,12956
钣金,Metal,material,12956
钢盔,Metal,material,12956
钢窗,Metal,material,12956
锡杖,Metal,material,12956
钟鼎文,Metal,material,12956
铁格子,Metal,material,12956
铁栏,Metal,material,12956
铁箱,Metal,material,12956
铁罐,Metal,material,12956
铛铛,Metal,material,12956
铸成,Metal,material,12956
钃,Metal,material,12956
陶冶,Metal,material,12956
碱性金属,Metal,material,12956
碱金属,Metal,material,12956
点金成铁,Metal,material,12956
一下子,Short,modifier,11783
一句话,Short,modifier,11783
一学就会,Short,modifier,11783
一时半刻,Short,modifier,11783
一时半晌,Short,modifier,11783
一时半会,Short,modifier,11783
一时半会儿,Short,modifier,11783
一时半霎,Short,modifier,11783
一曝十寒,Short,modifier,11783
一朝一夕,Short,modifier,11783
一瞬,Short,modifier,11783
三分头,Short,modifier,11783
不及,Short,modifier,11783
不识高低,Short,modifier,11783
中断,Short,modifier,11783
五短身材,Short,modifier,11783
俗世奇人,Short,modifier,11783
俴,Short,modifier,11783
做空,Short,modifier,11783
催膘,Short,modifier,11783
凌蒙初,Short,modifier,11783
动不动就生气,Short,modifier,11783
动词重叠,Short,modifier,11783
匮乏,Short,modifier,11783
匮缺,Short,modifier,11783
取巧,Short,modifier,11783
周扒皮,Short,modifier,11783
善忘,Short,modifier,11783
囊中羞涩,Short,modifier,11783
垂直和短距起落飞机,Short,modifier,11783
奇缺,Short,modifier,11783
契诃夫,Short,modifier,11783
孔乙己,Short,modifier,11783
字帖,Short,modifier,11783
字帖儿,Short,modifier,11783
小段子,Short,modifier,11783
小结,Short,modifier,11783
小游,Short,modifier,11783
少刻,Short,modifier,11783
少间,Short,modifier,11783
少顷,Short,modifier,11783
