raw,canonical,slot,support
暗黑,Dark,,91
水晶,Crystal,,63
沙,Sand,,61
风,Wind,,57
爆发,Burst,,48
嘎吱,Crunchy,,35
失真,Distorted,,33
叮响,Ping,,32
基底,Base,,27
尘,Dust,,27
中频,Mid,,25
奥术,Arcane,,24
光谱,Spectral,,23
召唤,Summon,,21
铃鼓,Tambourine,,21
闪耀,Sparkle,,20
微小,Tiny,,18
织物,Fabric,,18
颗粒感,Gritty,,18
挥砍,Slash,,17
尼龙,Nylon,,15
幽灵,Ghost,,15
崩裂,Crumbling,,15
包裹,Parcel,,15
等离子,Plasma,,15
冲击,Punch,,15
短促,Short,,15
卡顿,Stutter,,14
点燃,Ignite,,13
数字,Digital,,13
锣弓,Gong,,12
简单,Simple,,12
啪响,Snap,,12
崩落,Crumble,,12
神圣,Holy,,12
恶魔,Demonic,,12
灵魂,Soul,,12
竹,Chimes,,12
空间,Space,,12
爆裂,Blast,,12
冲击波,Shockwave,,12
寒冷,Cold,,11
瞬态,Transient,,10
空气,Air,,10
雨伞,Umbrella,,10
打开,Open,,10
明亮,Bright,,9
镶边,Flangy,,9
鞭击,Whip,,9
皮革,Leather,,9
尖锐,Sharp,,9
闪粉,Glitter,,9
中性,Neutral,,9
治愈,Healing,,9
颤动,Flutter,,9
松果,Pinecone,,9
微风,Breeze,,9
之光,Light,,9
流体,Fluid,,9
颗粒,Grain,,9
风暴,Storm,,9
投射物,Projectile,,9
黑暗,Dark,,9
疾掠,Flurry,,9
太空,Space,,9
激光,Laser,,9
液体,Liquid,,9
电,Electric,,9
旗帜,Flag,,7
碎音,Cymbal,,7
秘法,Mystic,,6
掠过,By,,6
混沌,Chaos,,6
义体,Cyborg,,6
射线,Ray,,5
