canonical,variant,source
accelerate,accel,soundminer
accelerate,accelerated,soundminer
activate,activator,soundminer
aggression,aggressive,soundminer
agony,agonize,soundminer
agony,agonizing,soundminer
ahh,ahhh,soundminer
aircraft,airliner,soundminer
aircraft,airplane,soundminer
aircraft,arpl,soundminer
aircraft,jet,soundminer
aircraft,plane,soundminer
aircraft,aeroplane,soundminer
aircraft,biplane,soundminer
allegro,fast,soundminer
allegro,pacey,soundminer
allegro,quick,soundminer
allegro,snappy,soundminer
allegro,swift,soundminer
alligator,crocodile,soundminer
aluminum,aluminium,soundminer
amazed,amazement,soundminer
amazed,astonished,soundminer
amazed,wonder,soundminer
amazed,wow,soundminer
amazement,astonished,soundminer
amazement,wonder,soundminer
ambience,amb,soundminer
ambience,ambiance,soundminer
ambience,atmos,soundminer
ambience,atmosphere,soundminer
ambience,background,soundminer
ambience,bg,soundminer
ambience,bgrd,soundminer
ammunition,ammo,soundminer
ammunition,bullet,soundminer
ammunition,round,soundminer
amplifier,amp,soundminer
amplifier,amplification,soundminer
amusement,carnival,soundminer
amusement,circus,soundminer
amusement,fair,soundminer
amusing,comical,soundminer
amusing,comic,soundminer
amusing,comedy,soundminer
amusing,funny,soundminer
amusing,humourous,soundminer
anger,angry,soundminer
anger,disgruntled,soundminer
anger,mad,soundminer
anger,nasty,soundminer
anger,vicious,soundminer
anger,violent,soundminer
anger,annoyed,soundminer
anger,peeved,soundminer
anger,vexed,soundminer
anger,aggravated,soundminer
anger,exasperated,soundminer
anger,irritated,soundminer
anger,miffed,soundminer
animal,anml,soundminer
announcement,loudspeaker,soundminer
announcement,pa,soundminer
announcement,page,soundminer
announcement,paging,soundminer
antenna,aerial,soundminer
antenna,antennae,soundminer
antique,old,soundminer
antique,period,soundminer
antique,vintage,soundminer
ape,monkey,soundminer
ape,simian,soundminer
applause,applaud,soundminer
applause,applauding,soundminer
aproximately,approx,soundminer
aquarium,fishtank,soundminer
arc,spark,soundminer
armour,armor,soundminer
arrow,archer,soundminer
arrow,bow,soundminer
arrow,crossbow,soundminer
auditorium,hall,soundminer
automobile,auto,soundminer
automobile,car,soundminer
axe,ax,soundminer
baby,infant,soundminer
baby,newborn,soundminer
bad,awful,soundminer
bad,snafu,soundminer
bad,nfg,soundminer
bad,ng,soundminer
bake,cook,soundminer
bankrupt,banruptcy,soundminer
banquet,feast,soundminer
banquet,party,soundminer
bar,pub,soundminer
bar,saloon,soundminer
bar,tavern,soundminer
barbeque,bbq,soundminer
barbeque,grill,soundminer
